invoice_id,vendor_name,vendor_gstin,invoice_date,due_date,submitted_date,po_number,department,approver,submission_channel,currency,subtotal,tax_rate_pct,tax_amount,total_amount,payment_terms_days,bank_account_last4,ocr_confidence,is_duplicate,fraud_type,is_fraudulent,notes
INV-2025-000001,Horizon Facilities Mgmt,04IBHYC1323P1Z9,2025-05-23,2025-07-07,2025-05-24,PO-2025-2061,Facilities,M. Krishnan,email,INR,471155.18,28,131923.45,603078.63,45,6961,0.931,False,none,False,
INV-2025-000002,Siddha Supply Chain,00INVALID000,2025-09-10,2025-10-25,2025-09-12,PO-2025-1131,Operations,M. Krishnan,vendor_portal,USD,242681.29,0,0.0,242681.29,45,0289,0.833,False,ghost_vendor,True,Vendor has no prior transaction history; GSTIN fails format check.
INV-2026-000003,Bluewave Logistics Pvt Ltd,20XAYZN9124M1Z3,2026-03-12,2026-04-26,2026-03-13,PO-2026-8589,Marketing,K. Reddy,vendor_portal,INR,54822.83,5,2741.14,57563.97,45,0014,0.981,False,none,False,
INV-2026-000004,Coastal Cargo Movers,29GQDYV1649Q1Z9,2026-07-23,2026-08-07,2026-07-23,PO-2026-2585,Legal,K. Reddy,vendor_portal,INR,478167.86,5,23908.39,502076.25,15,9202,0.904,False,none,False,
INV-2024-000005,Yamuna Water Solutions,25VRNWO0904I1Z0,2024-09-05,2024-09-20,2024-09-05,PO-2024-5129,Operations,M. Krishnan,vendor_portal,USD,244573.77,0,0.0,244573.77,15,7278,0.911,False,none,False,
INV-2025-000006,Lotus Catering Services,34RTCZE5075D1Z6,2025-09-06,2025-11-05,2025-09-10,PO-2025-6181,Procurement,R. Menon,scanned_mail,INR,318308.89,0,0.0,318308.89,60,7997,0.991,False,none,False,
INV-2025-000007,Wingspan Travel Corp,01NIZLM0144H1Z0,2025-10-04,2025-12-03,2025-10-05,PO-2025-4745,HR,K. Reddy,email,INR,378337.62,18,68100.77,446438.39,60,5234,0.911,False,none,False,
INV-2026-000008,Everest Packaging Co,32DMXLW4423N1Z8,2026-03-01,2026-04-15,2026-03-05,PO-2026-1523,Procurement,S. Kulkarni,email,USD,12444.36,0,0.0,12444.36,45,2670,0.93,False,none,False,
INV-2025-000009,Prakash Stationery Mart,18VSLME1376M1Z1,2025-07-20,2025-08-19,2025-07-23,PO-2025-1127,Finance,D'Souza,vendor_portal,USD,296673.09,10,29667.31,326340.4,30,6185,0.988,False,none,False,
INV-2025-000010,Raagam Interiors,05EQZLZ1823F1Z9,2025-08-15,2025-09-29,2025-08-17,PO-2025-3230,Legal,K. Reddy,scanned_mail,USD,7864.23,6,471.85,8336.08,45,3907,0.949,False,none,False,
INV-2026-000011,Wingspan Travel Corp,30FYNBV0401W1Z1,2026-05-16,2026-06-30,2026-05-19,PO-2026-2501,Logistics,D'Souza,vendor_portal,EUR,253846.92,6,15230.82,269077.74,45,0007,0.914,False,none,False,
INV-2024-000012,Everest Packaging Co,28IUOVM0712E1Z2,2024-12-07,2025-01-21,2024-12-09,PO-2024-9855,Facilities,R. Menon,vendor_portal,INR,213725.0,18,38470.5,252195.5,45,7316,0.987,False,none,False,
INV-2025-000013,Coastal Cargo Movers,27AGOJH5766I1Z1,2025-03-29,2025-04-28,2025-03-31,PO-2025-8748,Procurement,T. Rao,scanned_mail,USD,299825.9,8,23986.07,323811.97,30,3688,0.975,False,none,False,
INV-2024-000014,Udupi Fresh Foods,22SBBBF2051B1Z7,2024-01-09,2024-02-08,2024-01-09,PO-2024-7756,Finance,R. Menon,vendor_portal,INR,136598.47,28,38247.57,174846.04,30,3892,0.905,False,none,False,
INV-2025-000015,Lotus Catering Services,10DPXJG9882Y1Z4,2025-08-19,2025-09-03,2025-08-21,PO-2025-4056,Procurement,A. Iyer,email,EUR,264676.45,10,26467.65,291144.1,15,2663,0.917,False,none,False,
INV-2024-000016,Meridian Consulting Group,25RZSCT8780T1Z9,2024-08-08,2024-09-22,2024-08-10,PO-2024-3771,Legal,S. Kulkarni,email,INR,205382.55,0,0.0,205382.55,45,4037,0.915,False,none,False,
INV-2024-000017,Raagam Interiors,05FEEFR8722M1Z8,2024-05-01,2024-06-30,2024-05-01,PO-2024-6008,Logistics,N. Bhatt,edi_feed,INR,37206.7,5,1860.34,39067.04,60,0319,0.954,False,none,False,
INV-2025-000018,Raagam Interiors,29VCGSV4774Y1Z7,2025-11-28,2026-01-27,2025-12-03,PO-2025-6002,Operations,T. Rao,vendor_portal,INR,25148.08,5,1257.4,26405.48,60,9169,0.907,False,none,False,
INV-2025-000019,Siddha Supply Chain,12ABCDE,2025-06-12,2025-07-12,2025-06-15,PO-2025-6354,Logistics,A. Iyer,scanned_mail,INR,180813.82,0,0.0,180813.82,30,7302,0.753,False,ghost_vendor,True,Vendor has no prior transaction history; GSTIN fails format check.
INV-2025-000020,Ganga Freight Services,03CPRIX6713G1Z4,2025-05-31,2025-06-15,2025-06-03,PO-2025-8456,Finance,A. Iyer,scanned_mail,INR,109928.58,0,0.0,109928.58,15,4472,0.904,False,none,False,
INV-2026-000021,Ganga Freight Services,21TGVIS1880K1Z4,2026-01-31,2026-03-02,2026-02-04,PO-2026-7849,Logistics,D'Souza,scanned_mail,INR,142304.13,28,39845.16,182149.29,30,4499,0.989,False,none,False,
INV-2024-000022,Global Freight Partners,16JWSZS9188C1Z1,2024-09-02,2024-09-17,2024-09-06,PO-2024-8115,Finance,P. Nair,email,INR,93050.07,0,0.0,93050.07,15,4874,0.923,False,none,False,
