invoice_id,vendor_name,vendor_gstin,invoice_date,due_date,submitted_date,po_number,department,approver,submission_channel,currency,subtotal,tax_rate_pct,tax_amount,total_amount,payment_terms_days,bank_account_last4,ocr_confidence,is_duplicate,fraud_type,is_fraudulent,notes
INV-2025-000001,Quantum Networks Pvt Ltd,06AIKHX0431D1Z3,2025-10-12,2025-12-11,2025-10-13,PO-2025-6559,Marketing,M. Krishnan,vendor_portal,INR,384952.22,12,46194.27,431146.49,60,6121,0.976,False,none,False,
INV-2025-000002,Orion Cloud Systems,12WPMYO1587Q1Z4,2025-09-12,2025-09-27,2025-09-13,PO-2025-8660,Admin,D'Souza,email,INR,368640.58,0,0.0,368640.58,15,7774,0.989,False,none,False,
INV-2025-000003,Global Freight Partners,12NZXSB3000U1Z6,2025-01-01,2025-01-16,2025-01-01,PO-2025-5242,Admin,S. Kulkarni,edi_feed,INR,432887.63,12,51946.52,484834.15,15,3870,0.958,False,none,False,
INV-2025-000004,Indus Valley Textiles,10QQTCI7206M1Z7,2025-05-01,2025-06-30,2025-05-02,PO-2025-1038,Procurement,R. Menon,email,INR,278719.05,12,33446.29,312165.34,60,8396,0.9,False,none,False,
INV-2024-000005,Aravind Steel Traders,32LVMPE2000B1Z5,2024-12-27,2025-02-10,2024-12-30,PO-2024-1921,Legal,R. Menon,scanned_mail,INR,3652.34,12,438.28,4090.62,45,3532,0.968,False,none,False,
INV-2026-000006,Quantum Networks Pvt Ltd,17EZMOR4563E1Z5,2026-08-15,2026-08-30,2026-08-17,PO-2026-1047,Legal,S. Kulkarni,edi_feed,INR,168358.68,18,30304.56,198663.24,15,4267,0.962,False,none,False,
INV-2026-000007,Ganga Freight Services,11JBVQD5954P1Z9,2026-06-19,2026-08-18,2026-06-21,PO-2026-6955,IT,N. Bhatt,vendor_portal,INR,233768.83,28,65455.27,299224.1,60,3721,0.934,False,none,False,
INV-2024-000008,Umbra Services LLP,00INVALID000,2024-07-14,2024-07-29,2024-07-15,PO-2024-7794,Operations,V. Desai,edi_feed,USD,148047.45,0,0.0,148047.45,15,8324,0.84,False,ghost_vendor,True,Vendor has no prior transaction history; GSTIN fails format check.
INV-2024-000009,Northgate Print Hub,35TIAIQ4706H1Z5,2024-12-10,2025-01-24,2024-12-12,PO-2024-9373,Legal,V. Desai,edi_feed,INR,471132.55,0,0.0,471132.55,45,1349,0.97,False,none,False,
INV-2024-000010,Quantum Networks Pvt Ltd,34DZTYF5246Q1Z3,2024-10-05,2024-10-20,2024-10-10,PO-2024-2705,Legal,M. Krishnan,scanned_mail,INR,20516.09,12,2461.93,22978.02,15,4938,0.916,False,none,False,
INV-2026-000011,Sundaram Motors Spares,27GIKHS4147O1Z2,2026-04-22,2026-06-06,2026-04-25,PO-2026-5962,Facilities,T. Rao,edi_feed,INR,451723.5,0,0.0,451723.5,45,5899,0.983,False,none,False,
INV-2026-000012,Wingspan Travel Corp,23BZQTL9828R1Z6,2026-03-15,2026-04-14,2026-03-20,PO-2026-2726,Marketing,V. Desai,email,INR,78125.0,28,21875.0,100000.0,30,3916,0.962,False,round_number_amount,True,Total is an unusually round figure for this line of business.
INV-2024-000013,Trident Trading Co,GSTIN-MISSING,2024-10-12,2024-11-11,2024-10-16,PO-2024-9917,Logistics,M. Krishnan,email,INR,13766.94,0,0.0,13766.94,30,1521,0.721,False,ghost_vendor,True,Vendor has no prior transaction history; GSTIN fails format check.
