invoice_id,vendor_name,vendor_gstin,invoice_date,due_date,submitted_date,po_number,department,approver,submission_channel,currency,subtotal,tax_rate_pct,tax_amount,total_amount,payment_terms_days,bank_account_last4,ocr_confidence,is_duplicate,fraud_type,is_fraudulent,notes
INV-2025-000001,Orion Cloud Systems,35DTGRQ2289F1Z2,2025-12-23,2026-02-21,2025-12-28,PO-2025-9304,Procurement,V. Desai,scanned_mail,EUR,168849.09,6,10130.95,178980.04,60,6712,0.976,False,none,False,
INV-2025-000002,Ganga Freight Services,26DWEEA6979M1Z2,2025-07-22,2025-09-05,2025-07-25,PO-2025-3033,Admin,M. Krishnan,email,INR,78261.84,18,14087.13,92348.97,45,9979,0.917,False,none,False,
INV-2026-000003,Tejas Security Services,35WJMTV8628W1Z6,2026-01-01,2026-02-15,2026-01-06,PO-2026-9653,Logistics,T. Rao,scanned_mail,INR,283994.23,28,79518.38,363512.61,45,2411,0.965,False,none,False,
INV-2026-000004,Umbra Services LLP,12ABCDE,2026-02-10,2026-03-27,2026-02-15,PO-2026-1831,HR,S. Kulkarni,edi_feed,INR,334526.45,0,0.0,334526.45,45,2482,0.733,False,ghost_vendor,True,Vendor has no prior transaction history; GSTIN fails format check.
INV-2024-000005,Vishwa Engineering Works,04ZYEBF0267B1Z8,2024-02-09,2024-04-09,2024-02-10,PO-2024-8763,HR,T. Rao,edi_feed,INR,25126.63,28,7035.46,32162.09,60,5630,0.983,False,none,False,
INV-2026-000006,Quantum Networks Pvt Ltd,05YPZKG7193I1Z0,2026-05-27,2026-07-11,2026-05-30,PO-2026-4419,Facilities,K. Reddy,email,INR,71040.77,28,19891.42,90932.19,45,0427,0.979,False,none,False,
INV-2024-000007,Raagam Interiors,23IXAUX0688R1Z2,2024-01-10,2024-01-25,2024-01-11,PO-2024-1377,IT,R. Menon,email,INR,144083.4,18,25935.01,170018.41,15,5239,0.981,False,none,False,
INV-2024-000008,Falcon IT Solutions,30QDPPC3852M1Z7,2024-07-19,2024-08-18,2024-07-20,PO-2024-5436,HR,V. Desai,email,INR,289113.8,18,52040.48,341154.28,30,1137,0.907,False,none,False,
INV-2025-000009,Nandi Hardware Co,10DTPEY7381P1Z5,2025-05-07,2025-05-22,2025-05-12,PO-2025-2564,Legal,K. Reddy,vendor_portal,INR,43852.83,5,2192.64,49950.18,15,5706,0.953,False,altered_total,True,Total does not reconcile with subtotal + tax.
INV-2024-000010,Northgate Print Hub,23NFBXW5059Y1Z1,2024-04-25,2024-05-10,2024-04-26,PO-2024-1853,IT,R. Menon,vendor_portal,INR,226112.17,28,63311.41,289423.58,15,7586,0.97,False,none,False,
INV-2026-000011,Aravind Steel Traders,29YECIT6970K1Z9,2026-06-20,2026-08-04,2026-06-20,PO-2026-2699,Procurement,V. Desai,scanned_mail,INR,301658.28,12,36198.99,337857.27,45,2498,0.929,False,none,False,
INV-2024-000012,Orion Cloud Systems,29ZAMLJ1122J1Z6,2024-07-28,2024-08-27,2024-07-31,PO-2024-1690,HR,K. Reddy,scanned_mail,USD,356861.55,0,0.0,356861.55,30,0450,0.979,False,none,False,
INV-2024-000013,Horizon Facilities Mgmt,31JUNKA8049Z1Z1,2024-02-23,2024-04-23,2024-02-23,PO-2024-2961,Marketing,R. Menon,scanned_mail,USD,345979.38,6,20758.76,366738.14,60,9527,0.916,False,none,False,
INV-2025-000014,Tejas Security Services,22MKKTT5120Z1Z4,2025-06-30,2025-08-29,2025-07-02,PO-2025-3066,Legal,P. Nair,scanned_mail,INR,156794.3,12,18815.32,175609.62,60,6662,0.97,False,none,False,
INV-2025-000015,Tejas Security Services,11JZKBZ9576D1Z4,2025-12-07,2026-01-21,2025-12-12,PO-2025-9341,HR,T. Rao,scanned_mail,INR,334511.87,12,40141.42,374653.29,45,9059,0.927,False,none,False,
INV-2024-000016,Bright Path Cleaning Services,22PEKBI4842V1Z9,2024-07-05,2024-07-20,2024-07-05,PO-2024-4419,Operations,T. Rao,scanned_mail,INR,367262.0,12,44071.44,411333.44,15,0025,0.95,False,none,False,
INV-2024-000017,Aravind Steel Traders,09MFQKA4169X1Z9,2024-10-21,2024-11-20,2024-10-24,PO-2024-9661,Procurement,A. Iyer,vendor_portal,INR,235583.25,28,65963.31,301546.56,30,7759,0.98,False,none,False,
INV-2026-000018,Nandi Hardware Co,37ZDNBN3212M1Z4,2026-05-25,2026-07-24,2026-05-28,PO-2026-8767,Facilities,M. Krishnan,vendor_portal,INR,187696.02,28,52554.89,240250.91,60,7826,0.911,False,none,False,
INV-2024-000019,Zenith Office Furnishings,25AZAJV6421W1Z7,2024-12-24,2025-02-22,2024-12-26,PO-2024-4804,Admin,D'Souza,scanned_mail,INR,36873.42,12,4424.81,41298.23,60,4781,0.994,False,none,False,
INV-2026-000020,Deccan Electricals,06NVWTU9988L1Z9,2026-06-22,2026-07-22,2026-06-27,PO-2026-1813,Procurement,V. Desai,vendor_portal,INR,78688.56,18,14163.94,125253.43,30,9408,0.904,False,altered_total,True,Total does not reconcile with subtotal + tax.
INV-2024-000021,Tejas Security Services,29ZQGIK4467H1Z9,2024-11-18,2025-01-02,2024-11-20,PO-2024-3568,Procurement,K. Reddy,scanned_mail,USD,128543.79,8,10283.5,138827.29,45,7940,0.963,False,none,False,
INV-2025-000022,Raagam Interiors,31VNSAN4195L1Z5,2025-08-15,2025-09-29,2025-08-15,PO-2025-7319,HR,S. Kulkarni,vendor_portal,INR,379922.86,12,45590.74,425513.6,45,2048,0.953,False,none,False,
INV-2024-000023,Chola Office Supplies,20BCMLT2785X1Z2,2024-06-24,2024-07-09,2024-06-28,PO-2024-8914,Operations,R. Menon,edi_feed,INR,342327.97,5,17116.4,359444.37,15,9356,0.943,False,none,False,
INV-2026-000024,Aravind Steel Traders,23USWHP0710Y1Z6,2026-08-07,2026-08-22,2026-08-11,PO-2025-1999,Logistics,M. Krishnan,scanned_mail,INR,372965.62,28,104430.37,477395.99,15,4249,0.909,False,mismatched_po,True,PO number does not correspond to an open purchase order.
INV-2025-000025,Prakash Stationery Mart,37AHRVE4862H1Z1,2025-05-04,2025-06-18,2025-05-09,PO-2025-1637,IT,M. Krishnan,email,INR,112886.27,18,20319.53,133205.8,45,9014,0.953,False,none,False,
INV-2025-000026,Deccan Electricals,22TXKWN6772K1Z4,2025-09-25,2025-10-25,2025-09-25,PO-2025-7558,Logistics,A. Iyer,email,USD,423487.84,8,33879.03,457366.87,30,9018,0.955,False,none,False,
INV-2024-000027,Northgate Print Hub,34TNEUB1538J1Z8,2024-01-06,2024-01-21,2024-01-08,PO-2024-9677,Legal,P. Nair,email,USD,319908.28,0,0.0,319908.28,15,5911,0.925,False,none,False,
INV-2024-000028,Coastal Cargo Movers,11UMSMT2423D1Z8,2024-04-21,2024-05-06,2024-04-24,PO-2024-1597,Procurement,S. Kulkarni,email,INR,463089.78,18,83356.16,546445.94,15,5402,0.946,False,none,False,
INV-2025-000029,Bluewave Logistics Pvt Ltd,03IEXAM0603R1Z1,2025-10-02,2025-10-17,2025-10-04,PO-2025-6986,Facilities,A. Iyer,email,INR,364802.96,18,65664.53,430467.49,15,9903,0.908,False,none,False,
INV-2024-000030,Orion Cloud Systems,19TGPGI0226I1Z7,2024-01-03,2024-01-18,2024-01-07,PO-2024-1233,HR,V. Desai,vendor_portal,USD,429535.72,6,25772.14,455307.86,15,8345,0.942,False,none,False,
INV-2025-000031,Yamuna Water Solutions,05BCQSK4656P1Z2,2025-05-14,2025-05-29,2025-05-14,PO-2025-3325,HR,N. Bhatt,email,INR,169491.53,18,30508.47,200000.0,15,0397,0.952,False,round_number_amount,True,Total is an unusually round figure for this line of business.
INV-2025-000032,Nandi Hardware Co,13VXQEK1481P1Z1,2025-01-05,2025-03-06,2025-01-06,PO-2025-6393,Marketing,P. Nair,edi_feed,USD,116299.72,0,0.0,116299.72,60,7952,0.915,False,none,False,
INV-2025-000033,Udupi Fresh Foods,33NURVU1467O1Z9,2025-07-07,2025-08-21,2025-07-11,PO-2025-1103,Legal,V. Desai,vendor_portal,INR,296276.19,0,0.0,296276.19,45,4398,0.963,False,none,False,
INV-2026-000034,Indus Valley Textiles,10COEQC2195W1Z1,2026-04-24,2026-05-09,2026-04-25,PO-2026-7181,Admin,M. Krishnan,vendor_portal,INR,340329.65,28,95292.3,435621.95,15,9120,0.957,False,none,False,
INV-2025-000035,Quantum Networks Pvt Ltd,37MAUGG2361B1Z4,2025-06-30,2025-08-14,2025-07-01,PO-2025-8514,IT,T. Rao,edi_feed,INR,270564.96,0,0.0,270564.96,45,9521,0.99,False,none,False,
INV-2024-000036,Jyothi Print & Design,29EWCCM4825G1Z9,2024-03-19,2024-04-18,2024-03-24,PO-2024-3787,Operations,P. Nair,email,INR,105546.52,5,5277.33,110823.85,30,7862,0.923,False,none,False,
INV-2025-000037,Tejas Security Services,13UDCIL3735Q1Z9,2025-12-14,2026-01-13,2025-12-16,PO-2026-3652,HR,S. Kulkarni,edi_feed,INR,334511.87,12,40141.42,374653.29,30,5349,0.952,True,duplicate_invoice,True,Same vendor/amount seen on a prior invoice within 10 days.
INV-2024-000038,Lotus Catering Services,18RWYET2607G1Z1,2024-07-28,2024-08-27,2024-07-28,PO-2024-2676,Legal,R. Menon,edi_feed,INR,22715.5,5,1135.78,23851.28,30,7902,0.941,False,none,False,
INV-2025-000039,Coastal Cargo Movers,36JQRJV8913J1Z2,2025-03-06,2025-05-05,2025-03-07,PO-2024-8195,Admin,S. Kulkarni,vendor_portal,INR,224630.26,0,0.0,224630.26,60,6268,0.967,False,mismatched_po,True,PO number does not correspond to an open purchase order.
INV-2024-000040,Indus Valley Textiles,28KTGYG6157Q1Z4,2024-05-15,2024-05-30,2024-05-19,PO-2024-6044,Operations,D'Souza,email,INR,68087.38,0,0.0,68087.38,15,4333,0.97,False,none,False,
INV-2024-000041,Wingspan Travel Corp,15KRQPR5097G1Z4,2024-10-07,2024-10-22,2024-10-08,PO-2024-1813,Admin,M. Krishnan,edi_feed,INR,16046.83,0,0.0,16046.83,15,9643,0.963,False,none,False,
INV-2025-000042,Everest Packaging Co,16CDJYZ3289F1Z9,2025-05-18,2025-07-02,2025-05-20,PO-2025-6069,IT,N. Bhatt,scanned_mail,INR,391524.6,18,70474.43,461999.03,45,7057,0.904,False,none,False,
