invoice_id,vendor_name,vendor_gstin,invoice_date,due_date,submitted_date,po_number,department,approver,submission_channel,currency,subtotal,tax_rate_pct,tax_amount,total_amount,payment_terms_days,bank_account_last4,ocr_confidence,is_duplicate,fraud_type,is_fraudulent,notes
INV-2025-000001,Zenith Office Furnishings,33IYVWR5880Y1Z3,2025-12-07,2025-12-22,2025-12-12,PO-2025-1044,Finance,V. Desai,scanned_mail,INR,13581.29,0,0.0,13581.29,15,8446,0.925,False,none,False,
INV-2024-000002,Wingspan Travel Corp,24YZWGJ8467K1Z8,2024-11-22,2024-12-07,2024-11-25,PO-2024-3553,IT,S. Kulkarni,scanned_mail,INR,313343.7,0,0.0,313343.7,15,8113,0.906,False,none,False,
INV-2026-000003,Sundaram Motors Spares,10LTWYT7360T1Z0,2026-05-13,2026-05-28,2026-05-16,PO-2026-2286,Logistics,A. Iyer,edi_feed,EUR,102093.02,10,10209.3,112302.32,15,6990,0.985,False,none,False,
INV-2025-000004,Apex Manpower Agency,23FAVYG9313C1Z4,2025-04-10,2025-05-10,2025-04-14,PO-2025-4253,Procurement,N. Bhatt,scanned_mail,INR,158668.95,18,28560.41,187229.36,30,6134,0.963,False,none,False,
INV-2024-000005,Ganga Freight Services,22VXOJL5136Z1Z4,2024-03-19,2024-05-03,2024-03-23,PO-2024-3197,Facilities,R. Menon,edi_feed,INR,273992.57,12,32879.11,306871.68,45,8020,0.928,False,none,False,
INV-2026-000006,Deccan Electricals,03SUJQQ8717J1Z4,2026-03-13,2026-03-28,2026-03-18,PO-2026-1669,Logistics,D'Souza,scanned_mail,INR,74964.03,28,20989.93,95953.96,15,6978,0.934,False,none,False,
INV-2025-000007,Udupi Fresh Foods,25BBUVU7604A1Z0,2025-01-10,2025-03-11,2025-01-11,PO-2025-4157,HR,D'Souza,scanned_mail,INR,63805.94,0,0.0,63805.94,60,7684,0.994,False,none,False,
INV-2026-000008,Siddha Supply Chain,GSTIN-MISSING,2026-04-12,2026-05-12,2026-04-13,PO-2026-2088,HR,D'Souza,vendor_portal,INR,100704.27,18,18126.77,118831.04,30,1221,0.821,False,ghost_vendor,True,Vendor has no prior transaction history; GSTIN fails format check.
INV-2025-000009,Bright Path Cleaning Services,01QRUEQ0146B1Z3,2025-09-13,2025-11-12,2025-09-13,PO-2025-2277,Legal,M. Krishnan,edi_feed,INR,459126.53,0,0.0,459126.53,60,9674,0.95,False,none,False,
INV-2024-000010,Coastal Cargo Movers,33HLVKC2098D1Z0,2024-08-20,2024-09-19,2024-08-25,PO-2024-8524,HR,V. Desai,scanned_mail,INR,178774.31,5,8938.72,187713.03,30,1381,0.934,False,none,False,
INV-2025-000011,Vishwa Engineering Works,21NVZSF7217X1Z4,2025-11-19,2026-01-03,2025-11-20,PO-2025-6236,Marketing,D'Souza,vendor_portal,INR,128620.8,5,6431.04,135051.84,45,9742,0.926,False,none,False,
INV-2025-000012,Kaveri Industrial Parts,33TRPQY4818V1Z2,2025-06-17,2025-07-02,2025-06-17,PO-2025-3533,IT,D'Souza,vendor_portal,INR,213131.64,12,25575.8,238707.44,15,6226,0.984,False,none,False,
INV-2024-000013,Horizon Facilities Mgmt,28BQJWV3384V1Z0,2024-11-03,2024-11-18,2024-11-03,PO-2024-6601,Operations,N. Bhatt,vendor_portal,INR,338299.13,28,94723.76,433022.89,15,6362,0.932,False,none,False,
INV-2025-000014,Everest Packaging Co,17SNLQI6280W1Z3,2025-10-14,2025-12-13,2025-10-18,PO-2025-3113,Procurement,K. Reddy,scanned_mail,USD,23584.91,6,1415.09,25000.0,60,6411,0.918,False,round_number_amount,True,Total is an unusually round figure for this line of business.
INV-2025-000015,Meridian Consulting Group,17VTUZO6876F1Z4,2025-12-16,2026-02-14,2025-12-21,PO-2025-8177,Marketing,M. Krishnan,scanned_mail,INR,471156.28,12,56538.75,527695.03,60,4056,0.977,False,none,False,
INV-2025-000016,Meridian Consulting Group,12PBKBT3784Y1Z1,2025-12-20,2026-02-03,2025-12-25,PO-2025-8299,IT,D'Souza,email,INR,293371.37,12,35204.56,328575.93,45,0996,0.921,False,none,False,
INV-2026-000017,Quantum Networks Pvt Ltd,23FPBII5425V1Z2,2026-07-28,2026-08-27,2026-07-31,PO-2026-6424,Marketing,D'Souza,email,INR,304012.12,5,15200.61,319212.73,30,6081,0.91,False,none,False,
INV-2024-000018,Falcon IT Solutions,25WPGAK6083M1Z2,2024-03-28,2024-04-27,2024-04-02,PO-2024-9468,Procurement,K. Reddy,email,INR,304776.1,5,15238.81,320014.91,30,9134,0.93,False,none,False,
INV-2026-000019,Vishwa Engineering Works,35ITOCK3056I1Z8,2026-01-09,2026-02-08,2026-01-11,PO-2026-2352,Logistics,N. Bhatt,vendor_portal,INR,273009.72,18,49141.75,322151.47,30,8111,0.939,False,none,False,
INV-2025-000020,Deccan Electricals,28HQQID3450V1Z7,2025-08-05,2025-09-04,2025-08-08,PO-2025-2292,Finance,R. Menon,email,USD,89010.47,8,7120.84,96131.31,30,6796,0.97,False,none,False,
INV-2024-000021,Meridian Consulting Group,33OMRYP6604D1Z9,2024-11-15,2024-12-30,2024-11-20,PO-2024-3702,Operations,M. Krishnan,edi_feed,INR,130660.57,0,0.0,130660.57,45,7330,0.981,False,none,False,
INV-2026-000022,Udupi Fresh Foods,25TQTKO4727D1Z3,2026-06-28,2026-07-13,2026-06-28,PO-2026-1877,Admin,M. Krishnan,scanned_mail,INR,138908.75,0,0.0,138908.75,15,2859,0.967,False,none,False,
INV-2024-000023,Horizon Facilities Mgmt,08HYMOT5243T1Z9,2024-06-08,2024-07-08,2024-06-12,PO-2024-7599,Facilities,N. Bhatt,scanned_mail,INR,317964.17,12,38155.7,356119.87,30,7371,0.971,False,none,False,
INV-2025-000024,Meridian Consulting Group,07FIVEK5361W1Z9,2025-02-13,2025-04-14,2025-02-15,PO-2025-8152,Logistics,R. Menon,scanned_mail,EUR,138040.07,8,11043.21,149083.28,60,4791,0.916,False,weekend_submission,True,Submitted outside business hours/days with no prior pattern for this vendor.
INV-2025-000025,Lotus Catering Services,17AMOJJ0184Y1Z6,2025-06-22,2025-07-07,2025-06-26,PO-2025-8964,HR,D'Souza,edi_feed,INR,424750.83,18,76455.15,501205.98,15,1231,0.937,False,none,False,
INV-2026-000026,Horizon Facilities Mgmt,32QJVTM4461X1Z2,2026-08-08,2026-10-07,2026-08-13,PO-2026-7505,HR,A. Iyer,vendor_portal,USD,395568.61,6,23734.12,419302.73,60,1710,0.947,False,none,False,
INV-2025-000027,Ganga Freight Services,20QNJTV6451S1Z2,2025-03-14,2025-03-29,2025-03-16,PO-2025-7856,Logistics,V. Desai,scanned_mail,INR,40723.44,18,7330.22,48053.66,15,4965,0.963,False,split_invoice,True,"Amount sits just under the approval threshold, alongside a same-day sibling invoice."
INV-2025-000028,Nandi Hardware Co,10YTRRV5218G1Z1,2025-05-09,2025-07-08,2025-05-12,PO-2025-6201,IT,K. Reddy,email,INR,47122.38,5,2356.12,49478.5,60,7952,0.957,False,split_invoice,True,"Amount sits just under the approval threshold, alongside a same-day sibling invoice."
INV-2024-000029,Northgate Print Hub,36ESWRU4098I1Z0,2024-09-13,2024-10-28,2024-09-14,PO-2024-8055,Logistics,K. Reddy,email,INR,137849.96,0,0.0,137849.96,45,2073,0.968,False,none,False,
INV-2024-000030,Raagam Interiors,27HCJUB5265X1Z6,2024-04-18,2024-06-17,2024-04-22,PO-2024-8108,Logistics,T. Rao,vendor_portal,INR,81492.03,18,14668.57,96160.6,60,9126,0.976,False,none,False,
INV-2025-000031,Northgate Print Hub,30WJRUW6199S1Z2,2025-07-10,2025-07-25,2025-07-15,PO-2025-9831,Finance,D'Souza,edi_feed,INR,356098.57,28,99707.6,455806.17,15,2159,0.928,False,none,False,
INV-2024-000032,Wingspan Travel Corp,04DPZSA4072I1Z9,2024-11-13,2025-01-12,2024-11-14,PO-2024-3163,Marketing,N. Bhatt,edi_feed,INR,188913.94,0,0.0,188913.94,60,9255,0.951,False,none,False,
INV-2025-000033,Indus Valley Textiles,19RYFZW5746U1Z5,2025-07-10,2025-08-09,2025-07-13,PO-2025-9162,Admin,P. Nair,email,INR,4759.63,18,856.73,5616.36,30,9416,0.983,False,none,False,
INV-2024-000034,Meridian Consulting Group,01IARSL2963X1Z2,2024-03-30,2024-05-29,2024-03-30,PO-2024-7155,Procurement,S. Kulkarni,vendor_portal,USD,415341.67,0,0.0,415341.67,60,0067,0.904,False,none,False,
INV-2025-000035,Falcon IT Solutions,33JDIBE5982F1Z4,2025-09-12,2025-09-27,2025-09-16,PO-2025-5741,Facilities,A. Iyer,vendor_portal,USD,16036.95,10,1603.69,17640.64,15,4463,0.981,False,none,False,
INV-2025-000036,Chola Office Supplies,31NFXDD8416R1Z5,2025-08-26,2025-09-10,2025-08-28,PO-2025-1134,Marketing,N. Bhatt,scanned_mail,INR,30438.44,12,3652.61,34091.05,15,3845,0.964,False,none,False,
INV-2025-000037,Deccan Electricals,17WITNF3386V1Z3,2025-03-12,2025-05-11,2025-03-17,PO-2025-5490,Facilities,S. Kulkarni,email,INR,456026.7,18,82084.81,538111.51,60,2322,0.909,False,none,False,
INV-2024-000038,Quantum Networks Pvt Ltd,08NDCRA8768P1Z8,2024-03-09,2024-04-23,2024-03-11,PO-2024-6177,Legal,K. Reddy,email,INR,142407.68,12,17088.92,159496.6,45,8433,0.984,False,none,False,
INV-2024-000039,Bluewave Logistics Pvt Ltd,27IPWMT3061H1Z6,2024-03-02,2024-05-01,2024-03-05,PO-2024-7620,Admin,T. Rao,edi_feed,INR,88364.07,12,10603.69,98967.76,60,9051,0.994,False,none,False,
INV-2025-000040,Indus Valley Textiles,16VSGZX4191Y1Z2,2025-01-10,2025-02-24,2025-01-10,PO-2025-9681,Facilities,V. Desai,email,INR,206223.76,0,0.0,206223.76,45,2934,0.915,False,none,False,
INV-2024-000041,Aravind Steel Traders,10PUUEK2774J1Z3,2024-08-07,2024-09-06,2024-08-09,PO-2024-4807,HR,N. Bhatt,edi_feed,USD,280392.15,6,16823.53,297215.68,30,4932,0.982,False,none,False,
